station_id,cluster
72,0
79,6
82,15
83,7
119,7
120,7
127,19
128,6
143,4
144,4
146,15
150,20
151,6
152,15
157,4
161,6
164,21
167,21
168,19
173,0
174,10
195,15
212,19
216,4
217,4
223,19
228,21
229,6
232,4
236,10
237,10
238,19
239,4
241,7
242,7
243,7
244,7
245,7
247,19
248,6
249,6
251,6
252,19
253,10
254,19
257,6
258,7
259,15
260,15
261,4
262,7
264,15
265,20
266,20
267,0
268,6
270,7
274,7
275,7
276,15
278,4
279,15
280,10
281,8
282,2
284,19
285,10
289,7
291,20
293,10
295,20
296,6
297,10
301,20
302,20
303,6
304,15
305,8
306,15
307,20
308,6
309,15
310,4
311,20
312,20
313,7
314,4
315,15
316,15
317,20
319,15
320,6
321,4
322,4
323,4
324,4
325,10
326,10
327,15
328,6
330,15
331,20
332,20
334,19
335,6
336,6
337,15
339,20
340,20
341,20
342,20
343,7
344,16
345,19
346,19
347,6
349,20
350,20
351,15
353,7
354,7
355,6
356,20
357,10
358,19
359,21
360,15
361,20
362,0
363,15
364,7
365,23
366,7
368,6
369,19
372,16
373,16
376,15
377,6
379,0
380,19
382,10
383,19
385,8
386,6
387,15
388,19
389,2
390,4
391,4
392,4
393,20
394,20
396,23
397,7
398,4
399,7
400,20
401,20
402,10
403,20
405,19
406,4
407,4
408,20
409,16
410,20
411,20
412,6
414,4
415,15
416,7
417,15
418,4
419,7
420,7
421,7
422,0
423,0
426,15
427,15
428,20
430,4
432,20
433,10
435,19
436,16
437,16
438,20
439,20
440,21
441,21
442,19
443,2
445,20
446,19
447,0
448,0
449,0
450,0
453,19
454,21
455,21
456,21
457,0
458,19
459,19
460,2
461,10
462,19
465,0
466,10
467,7
468,0
469,0
470,19
471,2
472,21
473,20
474,10
476,21
477,0
478,0
479,0
480,0
481,2
482,19
483,10
484,21
485,21
486,10
487,10
490,0
491,10
492,0
494,19
495,0
496,10
497,10
498,0
499,0
500,0
501,21
502,20
503,10
504,10
505,0
507,10
508,0
509,19
513,0
514,0
515,0
516,21
517,21
518,21
519,21
520,21
522,21
523,0
524,0
525,0
526,21
527,21
528,21
529,0
530,0
531,20
532,2
533,0
534,15
536,21
537,10
539,2
540,10
545,10
546,10
2000,4
2001,4
2002,17
2003,10
2005,7
2006,8
2008,15
2009,6
2010,6
2012,10
2021,0
2022,8
2023,21
3002,15
3016,17
3041,16
3042,16
3043,16
3044,16
3046,16
3047,16
3048,16
3049,7
3050,16
3052,16
3053,16
3054,16
3055,16
3056,16
3057,16
3058,16
3059,16
3060,16
3061,16
3062,16
3063,16
3064,16
3065,2
3066,2
3067,2
3068,2
3069,2
3070,2
3071,2
3072,2
3073,2
3074,2
3075,2
3076,2
3077,2
3078,2
3080,2
3081,2
3082,2
3083,2
3085,2
3086,2
3087,2
3088,17
3090,17
3091,17
3092,17
3093,17
3094,17
3095,17
3096,17
3100,17
3101,17
3102,17
3103,17
3105,17
3106,17
3107,17
3108,17
3109,17
3110,17
3112,17
3113,17
3115,17
3116,17
3117,17
3118,9
3119,9
3120,9
3121,9
3122,9
3123,9
3124,9
3125,9
3126,9
3127,9
3128,9
3129,9
3130,9
3131,8
3132,8
3134,8
3135,8
3136,8
3137,8
3139,8
3140,8
3141,8
3142,8
3143,8
3144,8
3145,11
3146,11
3147,11
3148,11
3150,11
3151,11
3152,8
3155,8
3156,8
3157,11
3158,14
3159,14
3160,14
3161,14
3162,14
3163,14
3164,14
3165,14
3166,14
3167,14
3168,14
3169,14
3170,14
3171,14
3172,14
3173,14
3175,14
3176,14
3177,14
3178,14
3179,16
3180,4
3221,9
3223,21
3224,19
3226,14
3231,8
3232,4
3233,21
3235,21
3236,0
3238,11
3239,12
3241,16
3242,4
3243,8
3244,10
3249,16
3250,20
3255,0
3256,6
3258,19
3259,19
3260,6
3263,10
3282,11
3283,14
3284,11
3285,14
3286,11
3288,11
3289,14
3290,11
3292,11
3293,14
3294,11
3295,22
3296,11
3297,18
3298,4
3300,18
3301,14
3302,22
3303,4
3304,18
3305,11
3306,18
3307,14
3308,4
3309,11
3310,18
3311,4
3312,11
3313,18
3314,14
3315,4
3316,22
3317,18
3318,11
3319,18
3320,22
3321,4
3322,18
3323,22
3324,18
3325,11
3326,12
3327,11
3328,22
3329,4
3330,12
3331,22
3332,4
3333,12
3335,18
3336,11
3337,12
3338,11
3339,18
3340,12
3341,22
3342,12
3343,22
3344,12
3345,11
3346,18
3347,12
3348,12
3349,23
3350,22
3351,11
3352,12
3354,18
3355,8
3356,14
3357,22
3358,18
3359,8
3360,14
3361,18
3362,8
3363,11
3364,18
3365,18
3366,22
3367,11
3368,18
3369,11
3370,8
3371,18
3372,8
3373,18
3374,22
3375,8
3376,8
3377,18
3378,8
3379,11
3381,18
3382,18
3383,22
3384,18
3386,12
3387,11
3388,12
3389,12
3390,5
3391,5
3392,12
3393,12
3394,12
3395,12
3396,12
3397,12
3398,12
3399,18
3400,5
3401,18
3402,4
3403,18
3404,18
3405,18
3407,18
3408,4
3409,4
3410,4
3411,4
3412,4
3413,18
3414,7
3415,7
3417,18
3418,23
3419,18
3420,18
3421,4
3422,12
3423,18
3424,5
3425,11
3427,6
3429,7
3430,17
3431,21
3432,18
3434,14
3435,6
3437,14
3438,8
3440,4
3441,19
3443,0
3447,8
3449,17
3452,17
3453,2
3454,2
3455,7
3456,17
3458,0
3459,21
3461,15
3462,21
3463,10
3466,0
3467,6
3468,10
3469,17
3472,19
3474,6
3477,12
3478,12
3485,20
3486,4
3488,1
3489,15
3490,5
3491,5
3492,5
3493,5
3494,5
3495,5
3496,5
3497,5
3498,5
3499,5
3500,5
3501,5
3502,5
3503,5
3504,5
3505,5
3506,5
3507,5
3508,22
3509,5
3510,5
3511,22
3512,3
3513,13
3514,13
3515,13
3516,13
3517,13
3518,5
3520,22
3521,22
3522,13
3523,13
3524,13
3525,13
3526,13
3527,5
3528,13
3529,5
3530,13
3531,5
3532,13
3533,22
3534,22
3535,5
3536,22
3537,7
3538,22
3539,22
3540,22
3541,22
3542,22
3543,22
3544,7
3545,22
3546,23
3547,22
3549,23
3551,5
3552,22
3553,22
3554,9
3555,9
3556,9
3557,9
3558,7
3559,3
3560,3
3561,3
3562,23
3563,3
3564,3
3565,3
3566,3
3567,3
3568,3
3569,23
3570,3
3571,23
3572,3
3573,3
3574,23
3575,3
3576,23
3577,3
3578,23
3579,23
3580,23
3581,23
3582,23
3583,23
3584,23
3585,23
3586,3
3587,23
3588,3
3589,3
3590,23
3591,3
3592,3
3593,3
3594,23
3595,3
3596,23
3597,13
3598,13
3599,23
3601,23
3602,13
3603,3
3604,23
3605,3
3606,9
3607,3
3609,3
3610,3
3611,9
3612,3
3613,9
3614,13
3615,9
3616,13
3617,13
3618,9
3619,13
3620,9
3621,3
3622,5
3623,22
3625,3
3629,5
3631,23
3632,20
3635,0
3637,7
3641,10
3642,11
3643,21
3644,12
3646,3
3647,9
3648,7
3649,22
3650,1
3653,3
3654,3
3656,20
3658,19
3659,19
3660,19
3661,23
3662,13
3663,7
3664,6
3040,18
3457,8
3487,12
3608,9
3245,20
3299,11
3668,17
3669,12
3671,11
3672,18
3674,4
3182,12
3254,15
3479,12
3628,5
3673,23
3680,21
3240,0
3666,13
3675,11
3676,12
3683,20
3684,19
3685,23
3686,19
298,7
3036,12
3687,21
3688,21
3689,22
3691,13
3692,7
3153,8
3690,15
3693,17
3695,20
3697,14
3699,0
3700,11
3701,15
3705,6
3704,9
493,0
3630,22
3154,8
3709,19
3711,10
3712,0
3714,2
3715,17
3716,3
3718,20
3719,7
3721,13
3720,4
